model,condition,n_images,anisotropy,anisotropy_converged,anisotropy_central,anisotropy_central_converged,anisotropy_central_crop,principal_angle_deg,principal_angle_converged,decay_ratio,decay_window,decay_ratio_converged,peak_row,peak_col,mass_radius,rms_radius,status,error
deit_s,natural,16,1.0441103581843003,False,1.0198316818897024,False,128,35.87273018860001,False,1.0393978696856463,64.0,False,123,120,74.90327095661443,81.70064747587162,ok,
deit_s,natural,32,1.0217897584421487,True,1.031135576971315,True,128,20.008720710312573,False,1.0500163999797152,64.0,True,119,120,73.66478127300725,80.98823637899208,ok,
deit_s,natural,64,1.0152244942177473,True,1.0376238689061212,True,128,63.2599999926112,False,1.0467590506733309,64.0,True,119,120,72.76331493273241,80.51024838675401,ok,
deit_s,natural,128,1.02925433811593,True,1.0410567402712574,True,128,46.58521079560813,False,1.0765332238061658,64.0,True,119,120,71.97569034055873,80.13504422387005,ok,
deit_s,natural,256,1.0182375260503562,True,1.0328312706988438,True,128,31.371855369015933,False,1.058536784480666,64.0,True,119,120,72.2530276182251,80.361897390184,ok,
deit_s,natural,512,1.0091856065360736,True,1.0197295730146665,True,128,34.05553292955484,False,1.0479688317147249,64.0,True,119,120,72.29453644640098,80.50094487663736,ok,
deit_s,noise,16,1.037546969419315,False,1.0493451902351347,False,128,28.222740169286244,False,1.0265590974614116,64.0,False,121,119,61.72924752497798,75.72658272200133,ok,
deit_s,noise,32,1.024779724015484,True,1.025312813245757,True,128,32.43735227782581,False,1.0348038041552652,64.0,True,121,119,61.077819214506995,75.13908425914084,ok,
deit_s,noise,64,1.015615534353866,True,1.021869214905494,True,128,30.58998933860345,False,1.0087970253081515,64.0,True,119,120,60.45246066125018,74.78065133934662,ok,
deit_s,noise,128,1.0167775992952126,True,1.0271750794726662,True,128,34.41211465874653,False,1.006364040128288,64.0,True,119,120,60.60115510450275,75.0407802135651,ok,
deit_s,noise,256,1.0114942301021437,True,1.021136807363139,True,128,28.225466207987857,False,1.020870061391659,64.0,True,119,120,60.25363059600641,74.82600880902577,ok,
deit_s,noise,512,1.010233761960187,True,1.018959901598005,True,128,13.134881040187723,False,1.0234127040480594,64.0,True,119,120,60.10407640085654,74.8014146207212,ok,
deit_s,random_init,16,1.0178318657483774,False,1.0350441907996788,False,128,36.15332163127184,False,0.9514867954789024,64.0,False,122,122,19.81161275615895,65.00111019145218,ok,
deit_s,random_init,32,1.0220516337075316,True,1.046848811174846,True,128,9.069878849978606,False,1.0128328424123243,64.0,False,122,122,18.506755523321747,63.803123500488695,ok,
deit_s,random_init,64,1.0341722518822791,True,1.0505235189521724,True,128,12.299519414832968,False,1.097888958387738,64.0,False,122,122,18.721645226849056,64.04774275586279,ok,
deit_s,random_init,128,1.0178279171525906,True,1.0366400098045847,True,128,8.791423312632702,False,1.0377925379340631,64.0,False,122,122,19.091883092036785,64.34801545212937,ok,
deit_s,random_init,256,1.0125152302076927,True,1.0344139110475616,True,128,3.3883040050724698,False,1.0252907699229736,64.0,True,122,122,18.506755523321747,63.89976263696778,ok,
deit_s,random_init,512,1.0050896451929092,True,1.036417480292013,True,128,33.504250236635926,False,1.0133677202097064,64.0,True,122,122,19.091883092036785,64.37713598391059,ok,
cmt_s,natural,16,1.063237917353263,False,1.009649385651909,False,128,58.04473047298766,False,0.8182451041289928,64.0,False,125,102,83.91960438419619,87.47904864594874,ok,
cmt_s,natural,32,1.032281270740366,True,1.0161314797570813,True,128,77.29678292819024,False,0.9137030667158168,64.0,False,117,104,81.62413858657254,85.96320928790469,ok,
cmt_s,natural,64,1.0297313503286325,True,1.0157152532562004,True,128,64.9930211296831,False,1.045841014521636,64.0,False,109,105,79.62725663992198,84.70745181313748,ok,
cmt_s,natural,128,1.035032475294569,True,1.0213674242957926,True,128,68.03590177349076,False,1.041544761841771,64.0,True,109,105,77.97756087490811,83.85744867020043,ok,
cmt_s,natural,256,1.0319384777501397,True,1.010066307871164,True,128,69.77416821271329,False,1.0296669250217672,64.0,True,113,105,78.53979882836472,84.323460103006,ok,
cmt_s,natural,512,1.0282918948010995,True,1.0058371769326908,True,128,80.90002600354696,False,1.0233619100263889,64.0,True,109,105,78.57798673928977,84.40206342886722,ok,
cmt_s,noise,16,1.132828100422107,False,1.0337831845613226,False,128,79.10131371934135,False,,,,223,5,99.66192853843438,97.47251459780757,ok,"decay_ratio: ValueError: 피크 (223, 5)가 경계에서 반경 0만큼만 떨어져 있다 (max_distance 64 전체가 필요) — 더 좁은 창으로 낸 기울기 비는 같은 열의 다른 셀과 비교할 수 없다."
cmt_s,noise,32,1.107855624477044,True,1.0112837342605716,True,128,72.8829730464486,False,,,,221,0,99.71208552627911,97.79242835221653,ok,"decay_ratio: ValueError: 피크 (221, 0)가 경계에서 반경 0만큼만 떨어져 있다 (max_distance 64 전체가 필요) — 더 좁은 창으로 낸 기울기 비는 같은 열의 다른 셀과 비교할 수 없다."
cmt_s,noise,64,1.1152781599353307,True,1.0168447273961527,True,128,67.85478314074626,False,,,,221,0,99.6318222256323,97.83029405293115,ok,"decay_ratio: ValueError: 피크 (221, 0)가 경계에서 반경 0만큼만 떨어져 있다 (max_distance 64 전체가 필요) — 더 좁은 창으로 낸 기울기 비는 같은 열의 다른 셀과 비교할 수 없다."
cmt_s,noise,128,1.1224367517235252,True,1.0315727087255888,True,128,69.57279893173808,False,,,,221,0,99.16904759046544,97.45299689654074,ok,"decay_ratio: ValueError: 피크 (221, 0)가 경계에서 반경 0만큼만 떨어져 있다 (max_distance 64 전체가 필요) — 더 좁은 창으로 낸 기울기 비는 같은 열의 다른 셀과 비교할 수 없다."
cmt_s,noise,256,1.1189067404852806,True,1.034916477994963,True,128,67.92675145320551,False,,,,221,0,99.0176751898367,97.2345473027355,ok,"decay_ratio: ValueError: 피크 (221, 0)가 경계에서 반경 0만큼만 떨어져 있다 (max_distance 64 전체가 필요) — 더 좁은 창으로 낸 기울기 비는 같은 열의 다른 셀과 비교할 수 없다."
cmt_s,noise,512,1.1191786340756984,True,1.028954455973952,True,128,68.77538612595335,True,,,,221,2,99.66192853843438,97.99536350797295,ok,"decay_ratio: ValueError: 피크 (221, 2)가 경계에서 반경 2만큼만 떨어져 있다 (max_distance 64 전체가 필요) — 더 좁은 창으로 낸 기울기 비는 같은 열의 다른 셀과 비교할 수 없다."
cmt_s,random_init,16,1.0678910199866785,False,1.0275472957398506,False,128,39.182558622812365,False,1.1174515934773854,64.0,False,105,117,23.16246964380094,49.22795356547304,ok,
cmt_s,random_init,32,1.0442029588811594,True,1.0321764503638515,True,128,30.968643353493658,False,1.116496728072658,64.0,True,105,117,22.5055548698538,47.80176069460483,ok,
cmt_s,random_init,64,1.0501950279618906,True,1.0354088129890284,True,128,26.103615139366102,False,1.2087986873985412,64.0,False,105,121,22.5055548698538,47.64939994760248,ok,
cmt_s,random_init,128,1.0376681789079587,True,1.0273650858410248,True,128,32.875527952672634,False,1.122713857567998,64.0,False,105,117,22.147234590350102,47.79885955485451,ok,
cmt_s,random_init,256,1.033203323518842,True,1.0239855227386865,True,128,32.67173763001843,True,1.1064339576474769,64.0,True,105,117,21.965882636488796,47.24206490314087,ok,
cmt_s,random_init,512,1.0254223282025767,True,1.0239250749432889,True,128,36.47607993648322,False,1.107465133037311,64.0,True,105,117,21.965882636488796,47.38034044977483,ok,
vim_s,natural,16,1.059978411783641,False,1.0715044510043257,False,128,42.029395179193145,False,1.1274298697411895,64.0,False,118,119,84.03868156985806,86.39796286930802,ok,
vim_s,natural,32,1.036493085963473,True,1.0906785000969108,True,128,20.72269370737005,False,1.170564511034511,64.0,True,120,119,83.48952030045447,85.9630249149083,ok,
vim_s,natural,64,1.0304069983229869,True,1.099587749328549,True,128,5.75351235924166,False,1.215314938686687,64.0,True,120,119,82.39235401419236,85.58802510499122,ok,
vim_s,natural,128,1.0270350482556423,True,1.1014902898373071,True,128,2.9096824849964347,False,1.2835409135584548,64.0,False,120,119,80.32745483332582,84.55579310624196,ok,
vim_s,natural,256,1.035314325847395,True,1.104033197115536,True,128,8.199585608932221,False,1.358824202926314,64.0,False,120,119,79.94060294994027,84.3760836716128,ok,
vim_s,natural,512,1.0453474517952503,True,1.115327174867959,True,128,14.029347537930462,False,1.345038899777357,64.0,True,120,119,79.94060294994027,84.31159404859491,ok,
vim_s,noise,16,1.1512010369631571,False,1.313984247277594,False,128,1.5094172872353873,False,2.084275452268896,64.0,False,119,120,57.67581815631227,72.09566993563523,ok,
vim_s,noise,32,1.1296946222481696,True,1.321375100996718,True,128,5.660044472561676,False,1.935563155357788,64.0,False,120,120,58.02154772151464,72.26196733244244,ok,
vim_s,noise,64,1.1400640891806777,True,1.3753128412153943,True,128,1.8019223909026736,False,2.3078303849327573,64.0,False,120,120,57.67581815631227,72.1772764886974,ok,
vim_s,noise,128,1.1170164705292462,True,1.3599968982955162,True,128,3.5484096988332445,False,2.154419447017427,64.0,False,120,119,59.16502345136018,73.08680872120553,ok,
vim_s,noise,256,1.1060313274906663,True,1.3484680346305178,True,128,5.370319940449176,False,2.181105403536893,64.0,True,118,119,58.86000339789321,72.66883624550945,ok,
vim_s,noise,512,1.085023957544533,True,1.3319848854934018,True,128,4.292239737924056,False,2.00747641210257,64.0,False,118,119,59.51890455981192,73.34480616282245,ok,
