epoch,train_loss,val_top1,val_top5,lr
0,5.27886,0.026,0.0956,4.167e-05
1,5.226028,0.0418,0.1399,8.333e-05
2,5.156175,0.0602,0.187,0.000125
3,5.092481,0.0809,0.2307,0.00016667
4,5.042144,0.1003,0.2717,0.00020833
5,4.982998,0.1203,0.3215,0.00025
6,4.934474,0.1416,0.3548,0.00024999
7,4.891375,0.1532,0.3752,0.00024997
8,4.866252,0.1671,0.3896,0.00024994
9,4.840215,0.1694,0.3934,0.00024989
10,4.81369,0.1862,0.4305,0.00024983
11,4.792225,0.1955,0.4355,0.00024976
12,4.758013,0.2018,0.4498,0.00024967
13,4.731806,0.2127,0.462,0.00024956
14,4.72968,0.2168,0.4657,0.00024945
15,4.698191,0.2281,0.4842,0.00024932
16,4.66569,0.2361,0.4967,0.00024918
17,4.645186,0.2466,0.5079,0.00024902
18,4.627152,0.2552,0.5193,0.00024885
19,4.607801,0.2591,0.5232,0.00024867
20,4.601405,0.2719,0.5328,0.00024847
21,4.569815,0.2749,0.5352,0.00024826
22,4.582635,0.2801,0.5471,0.00024804
23,4.555394,0.2912,0.5562,0.0002478
24,4.537025,0.2881,0.557,0.00024755
25,4.511906,0.301,0.5662,0.00024729
26,4.532553,0.3066,0.576,0.00024701
27,4.487835,0.307,0.573,0.00024672
28,4.468566,0.3066,0.5784,0.00024642
29,4.468423,0.3154,0.5894,0.0002461
30,4.49883,0.3215,0.5981,0.00024577
31,4.42665,0.3269,0.596,0.00024543
32,4.460391,0.3344,0.6045,0.00024507
33,4.438985,0.3344,0.6125,0.0002447
34,4.402758,0.3369,0.6035,0.00024432
35,4.399653,0.347,0.6191,0.00024393
36,4.377823,0.3505,0.6211,0.00024352
37,4.370155,0.3585,0.6286,0.0002431
38,4.365496,0.3527,0.6254,0.00024267
39,4.342037,0.3576,0.6331,0.00024222
40,4.351043,0.3652,0.6395,0.00024176
41,4.353558,0.3631,0.636,0.00024129
42,4.338688,0.38,0.6452,0.0002408
43,4.319148,0.3792,0.6468,0.00024031
44,4.290424,0.3788,0.6518,0.0002398
45,4.273055,0.3862,0.6529,0.00023928
46,4.280744,0.3843,0.6529,0.00023874
47,4.270262,0.3904,0.6567,0.0002382
48,4.240687,0.3981,0.662,0.00023764
49,4.252746,0.4036,0.6709,0.00023707
50,4.226597,0.4031,0.6746,0.00023648
51,4.260986,0.4112,0.6784,0.00023589
52,4.220944,0.4036,0.673,0.00023528
53,4.198974,0.4107,0.679,0.00023466
54,4.204294,0.4045,0.6782,0.00023403
55,4.214125,0.4074,0.6816,0.00023339
56,4.20707,0.4128,0.678,0.00023273
57,4.169578,0.4156,0.6884,0.00023207
58,4.128183,0.4224,0.6836,0.00023139
59,4.179849,0.423,0.6918,0.0002307
60,4.164658,0.4208,0.6886,0.00023
61,4.165325,0.4175,0.6825,0.00022929
62,4.138704,0.4294,0.6935,0.00022856
63,4.125867,0.4363,0.6967,0.00022783
64,4.108175,0.4367,0.6967,0.00022708
65,4.122555,0.4427,0.6952,0.00022633
66,4.096504,0.4418,0.6977,0.00022556
67,4.076345,0.4331,0.6995,0.00022478
68,4.048481,0.4445,0.7001,0.00022399
69,4.09759,0.4444,0.6998,0.00022319
70,4.063498,0.4437,0.7052,0.00022238
71,4.083607,0.4436,0.703,0.00022156
72,4.057601,0.4489,0.7061,0.00022073
73,4.03109,0.4564,0.7156,0.00021989
74,4.053205,0.456,0.7073,0.00021903
75,4.022689,0.4563,0.7122,0.00021817
76,3.985313,0.4536,0.7112,0.0002173
77,3.987313,0.4584,0.7162,0.00021642
78,4.023289,0.4554,0.7107,0.00021553
79,4.054846,0.4566,0.7065,0.00021463
80,4.035089,0.4595,0.7127,0.00021372
81,3.963825,0.4556,0.7179,0.0002128
82,3.975835,0.4619,0.7178,0.00021187
83,3.992935,0.4638,0.7224,0.00021093
84,3.975134,0.4672,0.7249,0.00020998
85,3.979915,0.4692,0.7229,0.00020902
86,3.913425,0.4709,0.7254,0.00020806
87,3.939684,0.4637,0.7196,0.00020708
88,4.017164,0.4658,0.7238,0.0002061
89,3.972994,0.4706,0.7285,0.0002051
90,3.960147,0.4706,0.726,0.0002041
91,3.945725,0.4739,0.7307,0.00020309
92,3.90711,0.4731,0.7304,0.00020208
93,3.925654,0.4758,0.7322,0.00020105
94,3.933586,0.4748,0.7324,0.00020002
95,3.913998,0.4688,0.7289,0.00019897
96,3.865824,0.4757,0.7294,0.00019792
97,3.85693,0.4822,0.7339,0.00019687
98,3.843669,0.4815,0.7332,0.0001958
99,3.884997,0.4782,0.7265,0.00019473
100,3.831983,0.4845,0.7344,0.00019365
101,3.899544,0.4881,0.7389,0.00019256
102,3.820155,0.4858,0.7324,0.00019147
103,3.831226,0.487,0.7346,0.00019037
104,3.8324,0.4858,0.7377,0.00018926
105,3.880935,0.4894,0.7376,0.00018815
106,3.788974,0.4861,0.7371,0.00018702
107,3.817326,0.4851,0.7382,0.0001859
108,3.788323,0.4911,0.7416,0.00018476
109,3.78968,0.4923,0.7411,0.00018362
110,3.808251,0.488,0.739,0.00018248
111,3.842598,0.4874,0.7369,0.00018132
112,3.738331,0.4982,0.7449,0.00018017
113,3.849667,0.4925,0.7437,0.000179
114,3.807977,0.4941,0.7414,0.00017783
115,3.775928,0.4975,0.7465,0.00017666
116,3.812256,0.5018,0.743,0.00017548
117,3.790599,0.4916,0.7394,0.00017429
118,3.856664,0.4965,0.7449,0.0001731
119,3.801852,0.5033,0.7455,0.00017191
120,3.792927,0.496,0.7436,0.00017071
121,3.749529,0.4991,0.7424,0.0001695
122,3.71294,0.5009,0.7477,0.0001683
123,3.761388,0.4996,0.7464,0.00016708
124,3.745755,0.4939,0.7422,0.00016586
125,3.757628,0.5015,0.7479,0.00016464
126,3.754923,0.4894,0.7422,0.00016342
127,3.761598,0.4997,0.7445,0.00016219
128,3.722118,0.5042,0.7492,0.00016096
129,3.748761,0.4954,0.7454,0.00015972
130,3.703371,0.5016,0.7515,0.00015848
131,3.697357,0.5023,0.745,0.00015724
132,3.733345,0.4977,0.7452,0.00015599
133,3.734794,0.501,0.7458,0.00015474
134,3.684557,0.5042,0.7463,0.00015349
135,3.693135,0.4985,0.7481,0.00015223
136,3.677151,0.5022,0.7488,0.00015098
137,3.67547,0.5002,0.7506,0.00014972
138,3.759693,0.5051,0.7482,0.00014846
139,3.694942,0.5032,0.7515,0.00014719
140,3.708559,0.5001,0.7485,0.00014593
141,3.642393,0.5085,0.7502,0.00014466
142,3.662817,0.51,0.7498,0.00014339
143,3.670666,0.5112,0.7515,0.00014212
144,3.641509,0.5098,0.7461,0.00014085
145,3.676711,0.5138,0.7488,0.00013957
146,3.637026,0.5133,0.7505,0.0001383
147,3.614767,0.5086,0.7468,0.00013702
148,3.63401,0.5078,0.753,0.00013575
149,3.604706,0.5071,0.7485,0.00013447
150,3.611077,0.5203,0.7534,0.00013319
151,3.598296,0.5147,0.756,0.00013192
152,3.635479,0.5145,0.7526,0.00013064
153,3.621324,0.5122,0.7513,0.00012936
154,3.631118,0.5155,0.7561,0.00012808
155,3.598461,0.514,0.7502,0.00012681
156,3.564431,0.514,0.751,0.00012553
157,3.620163,0.5167,0.7517,0.00012425
158,3.637922,0.5164,0.7509,0.00012298
159,3.571247,0.5185,0.7506,0.0001217
160,3.59122,0.5174,0.7539,0.00012043
161,3.578883,0.5124,0.7471,0.00011915
162,3.607936,0.5166,0.7541,0.00011788
163,3.600399,0.5129,0.7514,0.00011661
164,3.626053,0.515,0.7507,0.00011534
165,3.578219,0.5162,0.7496,0.00011407
166,3.513378,0.516,0.7505,0.00011281
167,3.566934,0.5147,0.7543,0.00011154
168,3.601804,0.5172,0.7555,0.00011028
169,3.524931,0.5222,0.7537,0.00010902
170,3.514522,0.5252,0.7564,0.00010777
171,3.54864,0.5199,0.7566,0.00010651
172,3.534703,0.5232,0.753,0.00010526
173,3.548818,0.5184,0.7538,0.00010401
174,3.48517,0.524,0.7533,0.00010276
175,3.45271,0.5215,0.7536,0.00010152
176,3.536909,0.5208,0.7499,0.00010028
177,3.514131,0.5224,0.7533,9.904e-05
178,3.543861,0.5245,0.756,9.781e-05
179,3.448418,0.5213,0.7559,9.658e-05
180,3.484621,0.5195,0.7485,9.536e-05
181,3.483563,0.5217,0.7533,9.414e-05
182,3.487929,0.5215,0.7531,9.292e-05
183,3.553252,0.517,0.7508,9.17e-05
184,3.452205,0.5211,0.7552,9.05e-05
185,3.506875,0.5232,0.7585,8.929e-05
186,3.466,0.5273,0.7521,8.809e-05
187,3.582229,0.5276,0.7597,8.69e-05
