epoch,train_loss,val_top1,val_top5,lr
0,5.295746,0.02,0.0826,4.167e-05
1,5.219897,0.0457,0.1545,8.333e-05
2,5.135059,0.0695,0.2062,0.000125
3,5.070377,0.093,0.2541,0.00016667
4,4.988934,0.1081,0.3043,0.00020833
5,4.9394,0.132,0.3457,0.00025
6,4.855818,0.1452,0.3754,0.00024999
7,4.835471,0.1761,0.4171,0.00024997
8,4.800408,0.1853,0.4299,0.00024994
9,4.75261,0.1933,0.4383,0.00024989
10,4.718861,0.2174,0.4686,0.00024983
11,4.700799,0.2272,0.4799,0.00024976
12,4.668253,0.2442,0.5056,0.00024967
13,4.624276,0.2521,0.5152,0.00024956
14,4.60842,0.2605,0.5209,0.00024945
15,4.603528,0.2637,0.5267,0.00024932
16,4.542863,0.2771,0.5449,0.00024918
17,4.545732,0.2825,0.5563,0.00024902
18,4.47792,0.299,0.5713,0.00024885
19,4.489862,0.3011,0.5758,0.00024867
20,4.472639,0.3073,0.578,0.00024847
21,4.458389,0.3196,0.5907,0.00024826
22,4.439314,0.3256,0.5998,0.00024804
23,4.407455,0.3272,0.6022,0.0002478
24,4.412265,0.3384,0.6174,0.00024755
25,4.408054,0.3421,0.6172,0.00024729
26,4.378197,0.3522,0.6311,0.00024701
27,4.364189,0.3617,0.6347,0.00024672
28,4.332371,0.3718,0.6416,0.00024642
29,4.306579,0.3738,0.6432,0.0002461
30,4.330291,0.378,0.6467,0.00024577
31,4.253582,0.382,0.6537,0.00024543
32,4.26622,0.3917,0.6597,0.00024507
33,4.24592,0.3907,0.6587,0.0002447
34,4.267709,0.394,0.6671,0.00024432
35,4.241041,0.3923,0.6653,0.00024393
36,4.280163,0.4024,0.6752,0.00024352
37,4.223417,0.4115,0.6806,0.0002431
38,4.197047,0.4143,0.6777,0.00024267
39,4.18299,0.4139,0.6789,0.00024222
40,4.181307,0.425,0.6946,0.00024176
41,4.20093,0.4192,0.6902,0.00024129
42,4.143175,0.423,0.6917,0.0002408
43,4.132109,0.4287,0.6977,0.00024031
44,4.104643,0.4301,0.6938,0.0002398
45,4.090605,0.4378,0.7092,0.00023928
46,4.100657,0.4399,0.7078,0.00023874
47,4.146147,0.4482,0.7083,0.0002382
48,4.118738,0.4497,0.7165,0.00023764
49,4.091059,0.4474,0.7162,0.00023707
50,4.091319,0.4508,0.7163,0.00023648
51,4.072889,0.4455,0.7164,0.00023589
52,4.034448,0.4517,0.7185,0.00023528
53,4.062568,0.4609,0.7286,0.00023466
54,4.037812,0.4696,0.7324,0.00023403
55,4.001008,0.4649,0.7218,0.00023339
56,4.05231,0.4691,0.7347,0.00023273
