epoch,train_loss,val_top1,val_top5,lr
0,5.293395,0.0246,0.094,4.167e-05
1,5.202608,0.0514,0.1704,8.333e-05
2,5.127008,0.0724,0.2154,0.000125
3,5.056641,0.0896,0.2613,0.00016667
4,4.994518,0.1215,0.3158,0.00020833
5,4.922889,0.1385,0.3503,0.00025
6,4.870303,0.1591,0.3806,0.00024999
7,4.821781,0.1732,0.4069,0.00024997
8,4.787317,0.1912,0.445,0.00024994
9,4.757777,0.2103,0.4557,0.00024989
10,4.729628,0.221,0.4707,0.00024983
11,4.692173,0.2434,0.4957,0.00024976
12,4.647918,0.2398,0.5052,0.00024967
13,4.620006,0.2569,0.5094,0.00024956
14,4.616533,0.2654,0.5262,0.00024945
15,4.57564,0.2763,0.5392,0.00024932
16,4.533325,0.2853,0.5561,0.00024918
17,4.515749,0.293,0.5585,0.00024902
18,4.493893,0.297,0.5675,0.00024885
19,4.479994,0.3034,0.578,0.00024867
20,4.46874,0.3023,0.5749,0.00024847
21,4.435914,0.309,0.5884,0.00024826
22,4.441883,0.3089,0.5887,0.00024804
23,4.417139,0.3336,0.6047,0.0002478
24,4.399829,0.335,0.6085,0.00024755
25,4.366086,0.3539,0.6274,0.00024729
26,4.398732,0.3613,0.628,0.00024701
27,4.340594,0.3619,0.641,0.00024672
28,4.33249,0.3541,0.629,0.00024642
29,4.325521,0.3615,0.6368,0.0002461
30,4.355292,0.3722,0.6456,0.00024577
31,4.282955,0.3713,0.6461,0.00024543
32,4.317346,0.3791,0.654,0.00024507
33,4.295511,0.3829,0.6581,0.0002447
34,4.259293,0.3938,0.6662,0.00024432
35,4.245201,0.387,0.66,0.00024393
36,4.222227,0.4053,0.6752,0.00024352
37,4.22724,0.4016,0.6753,0.0002431
38,4.216185,0.4105,0.679,0.00024267
39,4.19025,0.4033,0.6675,0.00024222
40,4.203651,0.4098,0.6788,0.00024176
41,4.206132,0.4083,0.6847,0.00024129
42,4.181048,0.4261,0.6887,0.0002408
43,4.175467,0.4287,0.6987,0.00024031
44,4.144976,0.4262,0.6997,0.0002398
45,4.126786,0.4302,0.6961,0.00023928
46,4.135322,0.4315,0.6999,0.00023874
47,4.123594,0.4271,0.7025,0.0002382
48,4.094794,0.4514,0.7098,0.00023764
49,4.103104,0.4345,0.7044,0.00023707
50,4.073646,0.4435,0.7123,0.00023648
51,4.105981,0.4513,0.7216,0.00023589
52,4.065071,0.4564,0.7248,0.00023528
53,4.049458,0.4486,0.7158,0.00023466
54,4.057233,0.4537,0.7202,0.00023403
55,4.060489,0.4605,0.7201,0.00023339
56,4.063171,0.4641,0.7305,0.00023273
57,4.019681,0.4642,0.7263,0.00023207
58,3.976187,0.472,0.7318,0.00023139
59,4.027515,0.4725,0.7344,0.0002307
60,4.01764,0.472,0.7325,0.00023
61,4.014111,0.4595,0.7236,0.00022929
62,3.987632,0.4635,0.7306,0.00022856
63,3.963766,0.4783,0.7417,0.00022783
64,3.955316,0.4755,0.7354,0.00022708
65,3.970279,0.4817,0.7447,0.00022633
66,3.942653,0.4931,0.7424,0.00022556
67,3.924589,0.4762,0.741,0.00022478
68,3.892305,0.4927,0.7521,0.00022399
69,3.949937,0.4928,0.7543,0.00022319
70,3.91043,0.4942,0.7501,0.00022238
71,3.936776,0.4887,0.7512,0.00022156
72,3.919134,0.4976,0.7552,0.00022073
73,3.882387,0.5003,0.7579,0.00021989
74,3.895967,0.5036,0.7632,0.00021903
75,3.874597,0.5009,0.7576,0.00021817
76,3.835972,0.4993,0.762,0.0002173
77,3.836865,0.5039,0.7598,0.00021642
78,3.879694,0.5011,0.7597,0.00021553
79,3.909048,0.5054,0.763,0.00021463
80,3.893028,0.5111,0.7644,0.00021372
81,3.818845,0.5119,0.7648,0.0002128
82,3.831908,0.5079,0.7626,0.00021187
83,3.837911,0.5163,0.7693,0.00021093
84,3.833083,0.5222,0.774,0.00020998
85,3.825468,0.5106,0.7675,0.00020902
86,3.773965,0.518,0.7691,0.00020806
87,3.797603,0.5173,0.7683,0.00020708
88,3.865978,0.5191,0.7715,0.0002061
89,3.832176,0.5178,0.7731,0.0002051
90,3.818222,0.5232,0.7752,0.0002041
91,3.801845,0.5203,0.7726,0.00020309
