epoch,train_loss,val_top1,val_top5,lr
0,5.279642,0.024,0.092,4.167e-05
1,5.22661,0.0366,0.1376,8.333e-05
2,5.161441,0.058,0.1832,0.000125
3,5.098496,0.0779,0.2245,0.00016667
4,5.038004,0.0993,0.2665,0.00020833
5,4.998972,0.1103,0.2997,0.00025
6,4.930609,0.1319,0.3347,0.00024999
7,4.916407,0.1425,0.3534,0.00024997
8,4.897236,0.1577,0.3833,0.00024994
9,4.853703,0.1622,0.3883,0.00024989
10,4.837023,0.176,0.4097,0.00024983
11,4.823283,0.1837,0.4231,0.00024976
12,4.799926,0.1929,0.4383,0.00024967
13,4.770845,0.1927,0.4381,0.00024956
14,4.757395,0.2046,0.4543,0.00024945
15,4.75833,0.213,0.4592,0.00024932
16,4.709901,0.2166,0.4634,0.00024918
17,4.709289,0.2279,0.4778,0.00024902
18,4.664596,0.2358,0.4959,0.00024885
19,4.671557,0.2428,0.506,0.00024867
20,4.662253,0.2517,0.5095,0.00024847
21,4.647322,0.2541,0.5173,0.00024826
22,4.630296,0.2653,0.5221,0.00024804
23,4.608235,0.2692,0.5267,0.0002478
24,4.613378,0.2716,0.5371,0.00024755
25,4.598628,0.2787,0.542,0.00024729
26,4.577632,0.2856,0.5479,0.00024701
27,4.567805,0.28,0.549,0.00024672
28,4.538446,0.2953,0.5653,0.00024642
29,4.518968,0.3054,0.5714,0.0002461
30,4.539173,0.3019,0.5699,0.00024577
31,4.467332,0.3081,0.5794,0.00024543
32,4.477864,0.3222,0.5947,0.00024507
33,4.467075,0.3242,0.5927,0.0002447
34,4.474652,0.3227,0.5926,0.00024432
35,4.446418,0.3255,0.5946,0.00024393
36,4.484146,0.3389,0.6087,0.00024352
37,4.438109,0.3413,0.6188,0.0002431
38,4.409035,0.3361,0.6095,0.00024267
39,4.397503,0.3476,0.6208,0.00024222
40,4.387794,0.3406,0.6144,0.00024176
41,4.413637,0.3508,0.6217,0.00024129
42,4.360326,0.3511,0.6219,0.0002408
43,4.350167,0.3585,0.6312,0.00024031
44,4.322018,0.361,0.6379,0.0002398
45,4.304557,0.3685,0.6426,0.00023928
46,4.313838,0.3756,0.651,0.00023874
47,4.353694,0.3794,0.6479,0.0002382
48,4.332874,0.3765,0.6495,0.00023764
49,4.312492,0.3781,0.6506,0.00023707
50,4.307951,0.3832,0.6519,0.00023648
51,4.29081,0.3841,0.6571,0.00023589
52,4.253484,0.389,0.6557,0.00023528
53,4.277412,0.3898,0.6598,0.00023466
54,4.244966,0.3985,0.6643,0.00023403
55,4.224498,0.3955,0.6664,0.00023339
56,4.258175,0.4022,0.6672,0.00023273
57,4.224158,0.4058,0.6714,0.00023207
58,4.264384,0.4092,0.6705,0.00023139
59,4.1992,0.4109,0.6774,0.0002307
60,4.212416,0.4154,0.6761,0.00023
61,4.217533,0.4121,0.6768,0.00022929
62,4.148054,0.4221,0.681,0.00022856
63,4.208825,0.4162,0.6766,0.00022783
64,4.160684,0.4208,0.6854,0.00022708
65,4.18865,0.4246,0.6887,0.00022633
66,4.125564,0.4256,0.6895,0.00022556
67,4.113676,0.4381,0.6939,0.00022478
68,4.154894,0.4358,0.6938,0.00022399
69,4.108732,0.426,0.6923,0.00022319
70,4.064204,0.439,0.6992,0.00022238
71,4.102601,0.4383,0.6991,0.00022156
72,4.119354,0.4361,0.6928,0.00022073
73,4.102499,0.4453,0.7047,0.00021989
74,4.128759,0.4359,0.7039,0.00021903
75,4.058567,0.4391,0.7009,0.00021817
76,4.015413,0.4403,0.7075,0.0002173
77,4.082972,0.451,0.7083,0.00021642
78,4.083859,0.4446,0.7033,0.00021553
79,4.004447,0.4463,0.7101,0.00021463
80,4.052442,0.4499,0.7123,0.00021372
81,4.098349,0.4499,0.7072,0.0002128
