epoch,train_loss,val_top1,val_top5,lr
139,3.784531,0.4922,0.7351,0.00014719
140,3.805879,0.4855,0.7299,0.00014593
141,3.740165,0.486,0.734,0.00014466
142,3.763698,0.4874,0.7308,0.00014339
143,3.745494,0.4887,0.7326,0.00014212
144,3.762507,0.4877,0.7317,0.00014085
145,3.704968,0.4935,0.7372,0.00013957
146,3.754849,0.4904,0.7342,0.0001383
147,3.740487,0.4915,0.7327,0.00013702
148,3.773194,0.4894,0.738,0.00013575
149,3.728417,0.4953,0.7416,0.00013447
150,3.650243,0.4954,0.7375,0.00013319
151,3.706163,0.4899,0.7333,0.00013192
152,3.719586,0.4922,0.7336,0.00013064
153,3.688889,0.4898,0.7384,0.00012936
154,3.721207,0.4933,0.7358,0.00012808
155,3.731188,0.4926,0.7359,0.00012681
156,3.690927,0.4916,0.7362,0.00012553
157,3.645425,0.493,0.7363,0.00012425
158,3.69609,0.4934,0.7353,0.00012298
159,3.659661,0.4904,0.739,0.0001217
160,3.642002,0.4906,0.7372,0.00012043
161,3.689452,0.4932,0.7409,0.00011915
162,3.650303,0.4921,0.7399,0.00011788
163,3.617791,0.4912,0.7353,0.00011661
164,3.690356,0.4966,0.7385,0.00011534
165,3.703242,0.4948,0.7339,0.00011407
166,3.658761,0.4988,0.741,0.00011281
167,3.611321,0.4941,0.7382,0.00011154
168,3.661116,0.4984,0.7422,0.00011028
169,3.648459,0.5047,0.7416,0.00010902
170,3.634812,0.5014,0.7441,0.00010777
171,3.605053,0.5052,0.7392,0.00010651
172,3.595625,0.5103,0.7469,0.00010526
173,3.615368,0.5002,0.7387,0.00010401
174,3.645383,0.5043,0.7456,0.00010276
175,3.664671,0.5001,0.7415,0.00010152
176,3.619946,0.4969,0.7391,0.00010028
177,3.605951,0.4973,0.7412,9.904e-05
178,3.616208,0.5046,0.7429,9.781e-05
179,3.626268,0.5013,0.7432,9.658e-05
180,3.601494,0.4988,0.742,9.536e-05
181,3.587989,0.4982,0.7442,9.414e-05
182,3.600505,0.4957,0.7355,9.292e-05
183,3.57648,0.4957,0.7403,9.17e-05
184,3.548076,0.4973,0.7429,9.05e-05
185,3.536372,0.5004,0.7427,8.929e-05
186,3.580838,0.5012,0.7403,8.809e-05
187,3.598134,0.5007,0.7426,8.69e-05
188,3.650388,0.5013,0.742,8.571e-05
189,3.566304,0.503,0.7428,8.452e-05
190,3.622037,0.5059,0.747,8.334e-05
191,3.536498,0.502,0.7424,8.217e-05
192,3.549643,0.5027,0.7417,8.1e-05
193,3.568734,0.5012,0.7426,7.983e-05
194,3.541909,0.503,0.7428,7.868e-05
195,3.579135,0.5029,0.7431,7.752e-05
196,3.543262,0.5015,0.7443,7.638e-05
197,3.555227,0.5027,0.7438,7.524e-05
198,3.547338,0.5077,0.7456,7.41e-05
199,3.559965,0.5069,0.7418,7.298e-05
200,3.533723,0.5055,0.744,7.185e-05
201,3.530524,0.5028,0.7396,7.074e-05
202,3.455422,0.5039,0.7365,6.963e-05
203,3.537311,0.4993,0.741,6.853e-05
204,3.583055,0.4993,0.7376,6.744e-05
205,3.537512,0.5043,0.7401,6.635e-05
206,3.547705,0.5067,0.7438,6.527e-05
207,3.501093,0.5025,0.7453,6.42e-05
208,3.576572,0.5078,0.7423,6.313e-05
209,3.497761,0.5062,0.746,6.208e-05
210,3.544933,0.505,0.7454,6.103e-05
211,3.515627,0.5105,0.7408,5.998e-05
212,3.5266,0.5072,0.7416,5.895e-05
213,3.524086,0.5069,0.7413,5.792e-05
214,3.523318,0.5069,0.74,5.691e-05
215,3.50281,0.5088,0.745,5.59e-05
216,3.531911,0.5092,0.744,5.49e-05
217,3.469761,0.5061,0.7428,5.39e-05
218,3.533242,0.5099,0.7451,5.292e-05
219,3.434008,0.509,0.7451,5.194e-05
220,3.518199,0.5066,0.7427,5.098e-05
221,3.454749,0.5092,0.7454,5.002e-05
222,3.484454,0.5139,0.7481,4.907e-05
223,3.555141,0.5075,0.7398,4.813e-05
224,3.436787,0.5101,0.7448,4.72e-05
225,3.525676,0.5079,0.7441,4.628e-05
226,3.487792,0.5105,0.7423,4.537e-05
227,3.546203,0.5058,0.743,4.447e-05
228,3.489612,0.5084,0.7442,4.358e-05
229,3.401245,0.5082,0.7436,4.27e-05
230,3.472289,0.5089,0.7449,4.183e-05
231,3.416268,0.5091,0.7477,4.097e-05
232,3.456034,0.5083,0.7457,4.011e-05
233,3.521462,0.5112,0.745,3.927e-05
234,3.34102,0.513,0.7446,3.844e-05
235,3.498471,0.5134,0.7433,3.762e-05
236,3.411908,0.5105,0.7472,3.681e-05
237,3.466677,0.5121,0.7472,3.601e-05
238,3.510634,0.5119,0.7429,3.522e-05
239,3.381491,0.5109,0.7493,3.444e-05
240,3.517062,0.5148,0.746,3.367e-05
241,3.39958,0.5106,0.7418,3.292e-05
242,3.476727,0.5104,0.7437,3.217e-05
243,3.407447,0.515,0.7495,3.144e-05
244,3.451213,0.5121,0.7465,3.071e-05
245,3.43978,0.511,0.7453,3e-05
246,3.389961,0.512,0.7439,2.93e-05
247,3.380497,0.5132,0.7469,2.861e-05
248,3.457019,0.5107,0.7449,2.793e-05
249,3.44415,0.512,0.7448,2.727e-05
250,3.428989,0.5112,0.7463,2.661e-05
251,3.395901,0.5086,0.7445,2.597e-05
252,3.388459,0.5126,0.7464,2.534e-05
253,3.432869,0.5118,0.7446,2.472e-05
254,3.476014,0.5122,0.7424,2.411e-05
255,3.436676,0.5128,0.7454,2.352e-05
256,3.451018,0.5115,0.7438,2.293e-05
257,3.463151,0.5147,0.7484,2.236e-05
