epoch,train_loss,val_top1,val_top5,lr
0,5.281686,0.0309,0.1072,4.167e-05
1,5.187639,0.0479,0.1642,8.333e-05
2,5.121817,0.0674,0.2157,0.000125
3,5.049659,0.0922,0.2641,0.00016667
4,4.977302,0.1213,0.3157,0.00020833
5,4.932106,0.1417,0.3584,0.00025
6,4.849213,0.1538,0.3756,0.00024999
7,4.826417,0.183,0.4184,0.00024997
8,4.802617,0.1881,0.4352,0.00024994
9,4.750503,0.1971,0.4357,0.00024989
10,4.715752,0.2149,0.4648,0.00024983
11,4.698566,0.2294,0.4861,0.00024976
12,4.667823,0.2391,0.4951,0.00024967
13,4.619919,0.243,0.5141,0.00024956
14,4.606443,0.2597,0.5268,0.00024945
15,4.600544,0.2658,0.5285,0.00024932
16,4.536059,0.2808,0.5517,0.00024918
17,4.540876,0.2909,0.5604,0.00024902
18,4.478082,0.3028,0.5782,0.00024885
19,4.490666,0.3021,0.5775,0.00024867
20,4.466477,0.3128,0.5866,0.00024847
21,4.451511,0.3226,0.5958,0.00024826
22,4.441318,0.3168,0.5915,0.00024804
23,4.411075,0.3361,0.6085,0.0002478
24,4.415511,0.3365,0.6116,0.00024755
25,4.404957,0.3445,0.6219,0.00024729
26,4.375506,0.3561,0.6338,0.00024701
27,4.366171,0.3562,0.6372,0.00024672
28,4.336168,0.3542,0.6326,0.00024642
29,4.30868,0.3599,0.6326,0.0002461
30,4.333901,0.3656,0.6481,0.00024577
31,4.257752,0.3759,0.6538,0.00024543
32,4.272861,0.3832,0.6608,0.00024507
33,4.251292,0.3778,0.6538,0.0002447
34,4.269825,0.3884,0.6608,0.00024432
35,4.238894,0.398,0.6727,0.00024393
36,4.278036,0.391,0.6738,0.00024352
37,4.228956,0.405,0.6771,0.0002431
38,4.194965,0.4053,0.6724,0.00024267
39,4.178669,0.4098,0.6842,0.00024222
40,4.178288,0.4216,0.6904,0.00024176
41,4.201999,0.4081,0.6809,0.00024129
42,4.140711,0.4199,0.6898,0.0002408
43,4.132159,0.4303,0.6976,0.00024031
44,4.105831,0.4221,0.6905,0.0002398
45,4.090482,0.4275,0.7011,0.00023928
46,4.098575,0.4357,0.7021,0.00023874
47,4.148169,0.4412,0.7106,0.0002382
48,4.119323,0.4437,0.7155,0.00023764
49,4.092946,0.4397,0.7119,0.00023707
