epoch,train_loss,val_top1,val_top5,lr
0,5.286608,0.0267,0.1018,4.167e-05
1,5.190803,0.0499,0.1657,8.333e-05
2,5.124754,0.0652,0.1969,0.000125
3,5.064456,0.0966,0.2678,0.00016667
4,5.00323,0.1164,0.311,0.00020833
5,4.936469,0.1383,0.3471,0.00025
6,4.87572,0.162,0.3867,0.00024999
7,4.834844,0.1786,0.42,0.00024997
8,4.798338,0.1942,0.439,0.00024994
9,4.763415,0.2061,0.453,0.00024989
10,4.734698,0.2133,0.4663,0.00024983
11,4.695018,0.229,0.4877,0.00024976
12,4.658457,0.2454,0.503,0.00024967
13,4.624927,0.2579,0.518,0.00024956
14,4.619619,0.2621,0.5255,0.00024945
15,4.577962,0.2716,0.5447,0.00024932
16,4.533709,0.2778,0.5468,0.00024918
17,4.520731,0.2859,0.559,0.00024902
18,4.497638,0.3076,0.5763,0.00024885
19,4.476477,0.3092,0.5811,0.00024867
20,4.461687,0.3078,0.5802,0.00024847
21,4.430038,0.3106,0.586,0.00024826
22,4.437086,0.3143,0.591,0.00024804
23,4.414472,0.3323,0.6037,0.0002478
24,4.394148,0.3326,0.6068,0.00024755
25,4.364196,0.3427,0.6149,0.00024729
26,4.394022,0.352,0.6282,0.00024701
27,4.333125,0.3584,0.6324,0.00024672
28,4.325116,0.3561,0.6293,0.00024642
29,4.32023,0.3659,0.6471,0.0002461
30,4.346281,0.3713,0.6478,0.00024577
31,4.275646,0.3734,0.6476,0.00024543
32,4.310264,0.3735,0.6479,0.00024507
33,4.286568,0.3732,0.652,0.0002447
34,4.24198,0.3991,0.6695,0.00024432
35,4.237818,0.3944,0.6661,0.00024393
36,4.214994,0.4031,0.675,0.00024352
37,4.215712,0.4001,0.6754,0.0002431
38,4.20152,0.415,0.6868,0.00024267
39,4.176464,0.4085,0.6813,0.00024222
40,4.193526,0.4176,0.6904,0.00024176
41,4.190814,0.4158,0.6877,0.00024129
42,4.170612,0.4246,0.6965,0.0002408
43,4.160414,0.4293,0.7018,0.00024031
44,4.128106,0.4271,0.6978,0.0002398
45,4.115916,0.4161,0.6879,0.00023928
46,4.117448,0.4333,0.6962,0.00023874
47,4.11181,0.4404,0.7025,0.0002382
48,4.08,0.4404,0.7064,0.00023764
49,4.092205,0.4507,0.7103,0.00023707
50,4.064865,0.4538,0.7142,0.00023648
51,4.096665,0.4493,0.7165,0.00023589
52,4.056802,0.4608,0.7257,0.00023528
53,4.034504,0.4523,0.7164,0.00023466
54,4.041126,0.4566,0.7195,0.00023403
55,4.053416,0.4614,0.7269,0.00023339
56,4.053901,0.4725,0.7323,0.00023273
57,4.00724,0.472,0.7348,0.00023207
58,3.965227,0.4771,0.7422,0.00023139
59,4.025814,0.4717,0.733,0.0002307
60,4.003889,0.4803,0.7407,0.00023
61,4.008203,0.477,0.7337,0.00022929
62,3.979746,0.4758,0.7363,0.00022856
63,3.973983,0.4886,0.7408,0.00022783
64,3.946509,0.4893,0.7456,0.00022708
65,3.960712,0.4847,0.7436,0.00022633
66,3.945822,0.4919,0.7473,0.00022556
67,3.927592,0.489,0.7469,0.00022478
68,3.885429,0.504,0.7537,0.00022399
69,3.949018,0.493,0.7479,0.00022319
70,3.90652,0.5051,0.7562,0.00022238
71,3.937535,0.4942,0.7463,0.00022156
72,3.91853,0.4913,0.748,0.00022073
73,3.884933,0.5077,0.7603,0.00021989
74,3.899016,0.5086,0.7545,0.00021903
75,3.877302,0.5103,0.7559,0.00021817
76,3.838625,0.5056,0.7601,0.0002173
77,3.838017,0.5079,0.7592,0.00021642
78,3.887636,0.506,0.7597,0.00021553
79,3.905287,0.513,0.7614,0.00021463
80,3.89975,0.513,0.7598,0.00021372
81,3.818981,0.5137,0.762,0.0002128
82,3.83629,0.5052,0.7589,0.00021187
83,3.843115,0.5188,0.765,0.00021093
84,3.838328,0.5221,0.771,0.00020998
85,3.833378,0.5208,0.7686,0.00020902
86,3.776037,0.5243,0.7738,0.00020806
87,3.805605,0.5266,0.773,0.00020708
88,3.87034,0.5161,0.7643,0.0002061
89,3.838354,0.5257,0.7719,0.0002051
90,3.830155,0.5237,0.7731,0.0002041
91,3.806915,0.5276,0.7787,0.00020309
92,3.782845,0.5316,0.7736,0.00020208
93,3.795174,0.5294,0.7729,0.00020105
94,3.793599,0.5357,0.7785,0.00020002
95,3.777056,0.5311,0.7755,0.00019897
96,3.729717,0.5338,0.7823,0.00019792
97,3.730306,0.5344,0.7806,0.00019687
98,3.717695,0.5359,0.7792,0.0001958
99,3.740166,0.5357,0.7815,0.00019473
100,3.70122,0.5344,0.7776,0.00019365
101,3.771259,0.5424,0.7834,0.00019256
102,3.691179,0.5395,0.781,0.00019147
103,3.705551,0.529,0.7711,0.00019037
104,3.704871,0.5329,0.782,0.00018926
105,3.741044,0.5438,0.7859,0.00018815
106,3.653042,0.5396,0.7816,0.00018702
107,3.696937,0.5466,0.7879,0.0001859
108,3.657798,0.5444,0.786,0.00018476
109,3.664437,0.5481,0.791,0.00018362
110,3.686655,0.5461,0.7898,0.00018248
111,3.719033,0.5352,0.7808,0.00018132
112,3.621922,0.5438,0.7885,0.00018017
113,3.712242,0.549,0.7921,0.000179
114,3.687682,0.5559,0.7938,0.00017783
115,3.655817,0.5499,0.7896,0.00017666
116,3.680513,0.551,0.7896,0.00017548
