epoch,train_loss,val_top1,val_top5,lr
0,5.249322,0.0308,0.1196,4.167e-05
1,5.165761,0.0556,0.1785,8.333e-05
2,5.099863,0.0713,0.2294,0.000125
3,5.040696,0.0946,0.2683,0.00016667
4,5.001094,0.0994,0.2798,0.00020833
5,4.977859,0.1126,0.3024,0.00025
6,4.933483,0.1347,0.3406,0.00024999
7,4.912989,0.1344,0.3421,0.00024997
8,4.889632,0.1423,0.35,0.00024994
9,4.871636,0.1519,0.3738,0.00024989
10,4.83942,0.1593,0.3846,0.00024983
11,4.818441,0.1765,0.4061,0.00024976
12,4.822034,0.1756,0.4093,0.00024967
13,4.797392,0.1829,0.4214,0.00024956
14,4.77939,0.1951,0.4358,0.00024945
15,4.750532,0.2068,0.4553,0.00024932
16,4.750857,0.2083,0.4495,0.00024918
17,4.722941,0.2232,0.4729,0.00024902
18,4.69286,0.2267,0.4775,0.00024885
19,4.670129,0.248,0.5047,0.00024867
20,4.659732,0.2471,0.5074,0.00024847
21,4.643925,0.2469,0.5059,0.00024826
22,4.637151,0.2612,0.5166,0.00024804
23,4.580927,0.2694,0.5309,0.0002478
24,4.594397,0.2746,0.5397,0.00024755
25,4.579826,0.285,0.5529,0.00024729
26,4.526581,0.2929,0.5553,0.00024701
27,4.531819,0.2941,0.563,0.00024672
28,4.504411,0.3112,0.5798,0.00024642
29,4.508278,0.3091,0.5772,0.0002461
30,4.510837,0.326,0.5926,0.00024577
31,4.473838,0.3171,0.5864,0.00024543
32,4.443087,0.3267,0.5981,0.00024507
33,4.425696,0.3349,0.6014,0.0002447
34,4.403431,0.3432,0.6193,0.00024432
35,4.396136,0.3287,0.6057,0.00024393
36,4.402689,0.3436,0.6148,0.00024352
37,4.387504,0.3622,0.6383,0.0002431
38,4.360849,0.3524,0.6247,0.00024267
39,4.334942,0.3625,0.6336,0.00024222
40,4.322768,0.3724,0.6413,0.00024176
41,4.329903,0.3689,0.6494,0.00024129
42,4.317298,0.3634,0.6304,0.0002408
43,4.311642,0.3779,0.6491,0.00024031
44,4.286496,0.3773,0.6497,0.0002398
45,4.246266,0.3873,0.6581,0.00023928
46,4.272081,0.3894,0.6659,0.00023874
47,4.278962,0.3935,0.6649,0.0002382
48,4.2415,0.4012,0.6708,0.00023764
49,4.237337,0.3989,0.6738,0.00023707
50,4.215869,0.4046,0.6752,0.00023648
51,4.262121,0.4099,0.675,0.00023589
52,4.207074,0.4084,0.6817,0.00023528
53,4.205872,0.4072,0.6808,0.00023466
54,4.212147,0.409,0.6798,0.00023403
55,4.219619,0.4118,0.6844,0.00023339
56,4.16441,0.4142,0.6857,0.00023273
57,4.170143,0.4136,0.6861,0.00023207
58,4.127842,0.4284,0.6996,0.00023139
59,4.187256,0.4289,0.6948,0.0002307
60,4.098139,0.4327,0.7041,0.00023
61,4.142169,0.441,0.7026,0.00022929
62,4.133335,0.4303,0.6988,0.00022856
63,4.094449,0.436,0.7046,0.00022783
64,4.098813,0.4351,0.7054,0.00022708
65,4.12077,0.4375,0.7028,0.00022633
66,4.071982,0.4419,0.7057,0.00022556
67,4.085929,0.4472,0.7093,0.00022478
68,4.074109,0.4533,0.7111,0.00022399
69,4.04768,0.4518,0.7175,0.00022319
70,4.058548,0.4525,0.7147,0.00022238
71,4.063423,0.4455,0.7088,0.00022156
72,4.001682,0.453,0.7146,0.00022073
73,4.037779,0.4581,0.7187,0.00021989
74,4.073312,0.4586,0.7239,0.00021903
75,4.031651,0.4645,0.7227,0.00021817
76,3.993158,0.4573,0.7221,0.0002173
77,4.037843,0.4498,0.72,0.00021642
78,3.950369,0.4623,0.7233,0.00021553
79,3.981714,0.4707,0.7322,0.00021463
80,4.011877,0.4644,0.7287,0.00021372
81,3.993527,0.4667,0.7307,0.0002128
82,3.933264,0.4631,0.7195,0.00021187
83,3.939251,0.4727,0.7314,0.00021093
84,3.970225,0.4686,0.7308,0.00020998
85,3.956293,0.4757,0.7341,0.00020902
86,3.9487,0.4745,0.7331,0.00020806
87,3.946839,0.4834,0.7407,0.00020708
88,3.934375,0.479,0.7404,0.0002061
89,3.97437,0.4822,0.7388,0.0002051
90,3.896707,0.4792,0.7393,0.0002041
91,3.909278,0.478,0.7397,0.00020309
92,3.86168,0.4801,0.7399,0.00020208
93,3.886038,0.4816,0.7394,0.00020105
94,3.902826,0.4785,0.7379,0.00020002
95,3.849944,0.4823,0.7409,0.00019897
96,3.845589,0.4829,0.7368,0.00019792
97,3.831788,0.4931,0.7444,0.00019687
98,3.825325,0.4901,0.7453,0.0001958
99,3.908801,0.4897,0.7481,0.00019473
100,3.863609,0.4914,0.7474,0.00019365
101,3.803221,0.4903,0.7502,0.00019256
102,3.845045,0.4841,0.7485,0.00019147
103,3.788433,0.4968,0.7458,0.00019037
104,3.8284,0.4927,0.7492,0.00018926
105,3.746853,0.4961,0.7543,0.00018815
106,3.813333,0.4975,0.7507,0.00018702
107,3.79819,0.5057,0.7574,0.0001859
108,3.775728,0.4942,0.7482,0.00018476
109,3.797373,0.4966,0.7456,0.00018362
110,3.812747,0.4981,0.7552,0.00018248
111,3.715768,0.4925,0.7471,0.00018132
112,3.748593,0.5029,0.7523,0.00018017
113,3.764489,0.508,0.7559,0.000179
114,3.814111,0.4977,0.7525,0.00017783
115,3.72152,0.5046,0.7549,0.00017666
116,3.735999,0.5076,0.753,0.00017548
117,3.698027,0.5099,0.757,0.00017429
118,3.709778,0.5065,0.7554,0.0001731
119,3.733469,0.5084,0.7544,0.00017191
120,3.745995,0.5122,0.7505,0.00017071
121,3.711506,0.5109,0.7555,0.0001695
122,3.740002,0.5114,0.7546,0.0001683
123,3.689292,0.5104,0.7619,0.00016708
124,3.728645,0.5111,0.7596,0.00016586
125,3.707388,0.5069,0.7563,0.00016464
126,3.679778,0.5113,0.7645,0.00016342
127,3.661563,0.5144,0.7555,0.00016219
128,3.635216,0.5132,0.7596,0.00016096
129,3.681548,0.5092,0.7549,0.00015972
130,3.660903,0.5156,0.7597,0.00015848
131,3.672681,0.5045,0.7543,0.00015724
132,3.630364,0.5163,0.7637,0.00015599
133,3.681326,0.518,0.762,0.00015474
134,3.647363,0.518,0.7653,0.00015349
135,3.64636,0.5145,0.7546,0.00015223
136,3.612527,0.5146,0.758,0.00015098
137,3.568274,0.5166,0.7602,0.00014972
138,3.624867,0.5156,0.7593,0.00014846
139,3.652836,0.512,0.7608,0.00014719
140,3.675891,0.5202,0.7617,0.00014593
141,3.610597,0.5161,0.7606,0.00014466
142,3.631579,0.5153,0.7605,0.00014339
143,3.615022,0.5205,0.766,0.00014212
144,3.626429,0.5186,0.7638,0.00014085
145,3.573653,0.5165,0.7584,0.00013957
146,3.621924,0.519,0.7562,0.0001383
147,3.610181,0.5169,0.7593,0.00013702
148,3.64467,0.5199,0.7635,0.00013575
149,3.586741,0.5266,0.7668,0.00013447
150,3.517849,0.5121,0.7609,0.00013319
