epoch,train_loss,val_top1,val_top5,lr
139,3.593335,0.5625,0.7976,0.00014719
140,3.61015,0.564,0.7992,0.00014593
141,3.543163,0.5595,0.7964,0.00014466
142,3.574561,0.5633,0.8003,0.00014339
143,3.548525,0.5667,0.802,0.00014212
144,3.574057,0.5608,0.7999,0.00014085
145,3.520298,0.5623,0.8022,0.00013957
146,3.560113,0.5648,0.8,0.0001383
147,3.552989,0.5671,0.8006,0.00013702
148,3.578963,0.566,0.8,0.00013575
149,3.535667,0.5659,0.7971,0.00013447
150,3.469774,0.565,0.7994,0.00013319
151,3.52193,0.5689,0.8009,0.00013192
152,3.52859,0.5694,0.8024,0.00013064
153,3.517254,0.573,0.806,0.00012936
154,3.531638,0.5708,0.8005,0.00012808
155,3.542108,0.5778,0.7995,0.00012681
156,3.50979,0.5683,0.8035,0.00012553
157,3.464022,0.5705,0.8004,0.00012425
158,3.519752,0.5657,0.796,0.00012298
159,3.492143,0.5711,0.8053,0.0001217
160,3.448264,0.5703,0.8002,0.00012043
161,3.50727,0.5656,0.7998,0.00011915
162,3.466074,0.5746,0.8019,0.00011788
163,3.433975,0.5736,0.7983,0.00011661
164,3.50217,0.5729,0.8035,0.00011534
165,3.516229,0.5732,0.8036,0.00011407
166,3.482136,0.5734,0.8059,0.00011281
167,3.442151,0.5748,0.8002,0.00011154
168,3.478085,0.5748,0.8058,0.00011028
169,3.472461,0.5744,0.8069,0.00010902
170,3.450458,0.5762,0.8063,0.00010777
171,3.413063,0.5749,0.8088,0.00010651
172,3.406445,0.5782,0.8033,0.00010526
173,3.432028,0.5743,0.8003,0.00010401
174,3.454939,0.5778,0.8083,0.00010276
175,3.47843,0.5786,0.8074,0.00010152
176,3.438882,0.5801,0.8059,0.00010028
177,3.424477,0.5745,0.8069,9.904e-05
178,3.439165,0.5805,0.8076,9.781e-05
179,3.442781,0.5785,0.806,9.658e-05
180,3.422939,0.5732,0.8047,9.536e-05
181,3.414794,0.5766,0.8047,9.414e-05
182,3.438793,0.5825,0.8105,9.292e-05
183,3.39509,0.578,0.8049,9.17e-05
184,3.383636,0.5848,0.812,9.05e-05
185,3.364888,0.5837,0.8099,8.929e-05
186,3.397407,0.5838,0.8085,8.809e-05
187,3.43359,0.5763,0.8062,8.69e-05
188,3.467811,0.5789,0.8085,8.571e-05
189,3.386633,0.5855,0.8132,8.452e-05
190,3.446872,0.5876,0.8111,8.334e-05
191,3.356097,0.5802,0.8074,8.217e-05
192,3.375022,0.5876,0.8079,8.1e-05
193,3.388398,0.5838,0.8085,7.983e-05
194,3.371216,0.5878,0.8107,7.868e-05
195,3.418919,0.5899,0.8138,7.752e-05
196,3.372149,0.5905,0.8105,7.638e-05
197,3.37848,0.5874,0.8105,7.524e-05
198,3.380469,0.5842,0.8107,7.41e-05
199,3.391876,0.5872,0.8107,7.298e-05
200,3.362362,0.5901,0.8159,7.185e-05
201,3.357781,0.5879,0.8124,7.074e-05
202,3.287941,0.5904,0.8126,6.963e-05
203,3.368915,0.5851,0.808,6.853e-05
204,3.40127,0.5882,0.8122,6.744e-05
205,3.353911,0.5896,0.8097,6.635e-05
206,3.376617,0.5891,0.8114,6.527e-05
207,3.329375,0.5909,0.8096,6.42e-05
208,3.400574,0.5922,0.8102,6.313e-05
209,3.336841,0.5867,0.811,6.208e-05
210,3.384341,0.5869,0.8092,6.103e-05
211,3.354473,0.5899,0.8106,5.998e-05
212,3.356696,0.592,0.813,5.895e-05
213,3.346923,0.5915,0.8143,5.792e-05
214,3.356359,0.5937,0.8148,5.691e-05
215,3.339949,0.5914,0.8147,5.59e-05
216,3.361314,0.5919,0.8128,5.49e-05
217,3.300278,0.587,0.8156,5.39e-05
218,3.372451,0.5928,0.8148,5.292e-05
219,3.277998,0.588,0.8105,5.194e-05
220,3.355337,0.5941,0.8163,5.098e-05
221,3.282784,0.5903,0.8132,5.002e-05
222,3.328513,0.5936,0.8135,4.907e-05
223,3.378351,0.5903,0.8136,4.813e-05
224,3.29867,0.5985,0.8167,4.72e-05
225,3.357645,0.5975,0.8155,4.628e-05
226,3.321457,0.5946,0.8151,4.537e-05
227,3.371442,0.5858,0.8113,4.447e-05
228,3.327918,0.5905,0.8152,4.358e-05
229,3.248769,0.5934,0.8169,4.27e-05
230,3.30034,0.5948,0.8158,4.183e-05
231,3.26597,0.5911,0.8158,4.097e-05
232,3.31189,0.5874,0.813,4.011e-05
233,3.349388,0.5951,0.8167,3.927e-05
234,3.189951,0.5987,0.8188,3.844e-05
235,3.327067,0.5912,0.811,3.762e-05
236,3.266874,0.591,0.8134,3.681e-05
237,3.297873,0.5963,0.818,3.601e-05
238,3.349512,0.5896,0.813,3.522e-05
239,3.22507,0.5941,0.8165,3.444e-05
240,3.351965,0.5893,0.812,3.367e-05
241,3.251222,0.5911,0.8127,3.292e-05
242,3.322322,0.5941,0.8136,3.217e-05
243,3.257801,0.5989,0.8189,3.144e-05
244,3.306975,0.5933,0.8163,3.071e-05
245,3.283103,0.5994,0.8157,3e-05
246,3.233037,0.595,0.8182,2.93e-05
247,3.236358,0.5912,0.8146,2.861e-05
248,3.301173,0.5944,0.8169,2.793e-05
249,3.291005,0.5965,0.8181,2.727e-05
250,3.269558,0.5937,0.8153,2.661e-05
251,3.250248,0.5982,0.8189,2.597e-05
252,3.227526,0.5906,0.8147,2.534e-05
253,3.271789,0.5911,0.8151,2.472e-05
254,3.316101,0.5949,0.8149,2.411e-05
255,3.274294,0.5989,0.8195,2.352e-05
256,3.286435,0.5939,0.8155,2.293e-05
257,3.298662,0.5944,0.815,2.236e-05
258,3.245357,0.5961,0.8162,2.18e-05
259,3.276389,0.596,0.8177,2.126e-05
260,3.277527,0.5979,0.817,2.072e-05
261,3.311911,0.5947,0.8136,2.02e-05
262,3.280915,0.5956,0.8171,1.969e-05
263,3.253301,0.599,0.8177,1.92e-05
264,3.225704,0.598,0.8149,1.871e-05
265,3.275734,0.5971,0.815,1.824e-05
266,3.246217,0.5984,0.8188,1.778e-05
267,3.304741,0.5967,0.8176,1.733e-05
268,3.226849,0.5968,0.8192,1.69e-05
269,3.242745,0.5947,0.8168,1.648e-05
270,3.248843,0.5999,0.8188,1.607e-05
271,3.260824,0.5982,0.818,1.568e-05
272,3.296201,0.5965,0.8193,1.53e-05
273,3.287554,0.5953,0.8167,1.493e-05
274,3.25115,0.5978,0.8154,1.457e-05
275,3.229708,0.5987,0.8172,1.423e-05
276,3.224333,0.6026,0.8177,1.39e-05
277,3.240964,0.5997,0.8168,1.358e-05
278,3.279803,0.5989,0.8143,1.328e-05
279,3.27333,0.6006,0.817,1.299e-05
280,3.302424,0.599,0.8148,1.271e-05
281,3.17491,0.5993,0.8182,1.245e-05
282,3.221497,0.6,0.8197,1.22e-05
283,3.224517,0.5984,0.8169,1.196e-05
284,3.242463,0.5976,0.8173,1.174e-05
285,3.239153,0.5989,0.8181,1.153e-05
286,3.263741,0.597,0.8141,1.133e-05
287,3.24368,0.5986,0.8174,1.115e-05
288,3.237539,0.6015,0.8218,1.098e-05
289,3.294971,0.6001,0.818,1.082e-05
290,3.274111,0.5979,0.8176,1.068e-05
291,3.20151,0.5993,0.8185,1.055e-05
292,3.247639,0.5984,0.8185,1.044e-05
293,3.229042,0.5983,0.8177,1.033e-05
294,3.307438,0.5967,0.8169,1.024e-05
295,3.235505,0.5979,0.8155,1.017e-05
296,3.306781,0.5968,0.819,1.011e-05
297,3.217971,0.5991,0.8202,1.006e-05
298,3.230289,0.6,0.8193,1.003e-05
299,3.231868,0.5984,0.8178,1.001e-05
